ID,Brand,Model,Price_INR,Launch_Year,OS,Processor,GPU,RAM_GB,Storage_GB,Expandable_Storage,Display_Size_Inches,Display_Type,Resolution,Refresh_Rate_Hz,Battery_mAh,Fast_Charging_Watts,Wireless_Charging,Primary_Camera_MP,UltraWide_Camera_MP,Telephoto_Camera_MP,Front_Camera_MP,Video_Recording,5G_Support,Dual_SIM,Bluetooth_Version,WiFi_Version,NFC,Fingerprint_Type,Build_Type,Weight_grams,IP_Rating
97,Vivo,Vivo Pro 97,36734,2021,iOS 16,Snapdragon 8 Gen 1,Apple GPU,16,512,No,6.7,OLED,1440x3200,90,4000,25,No,200,8,32,16,4K@60fps,Yes,Yes,5.3,WiFi 6,No,Side-mounted,"Glass Front, Plastic Back",228,IP52
98,Xiaomi,Xiaomi Pro 98,97471,2025,iOS 16,Dimensity 8200,Mali-G710,6,256,No,6.4,Super AMOLED,1440x3200,120,4000,45,No,108,8,32,16,4K@60fps,Yes,Yes,5.3,WiFi 6E,No,Side-mounted,Metal Frame Glass Back,162,IP68
99,Nothing,Nothing Pro 99,114435,2023,Android 14,Snapdragon 7 Gen 1,Mali-G710,16,128,No,6.5,AMOLED,1440x3200,90,5000,65,No,200,12,12,16,8K@24fps,Yes,Yes,5.2,WiFi 6E,No,Rear-mounted,"Glass Front, Plastic Back",236,IP52
100,Vivo,Vivo Pro 100,108235,2026,Android 14,Snapdragon 7 Gen 1,Mali-G710,4,512,Yes,6.5,OLED,720x1600,144,6000,18,No,48,12,12,32,4K@60fps,No,Yes,5.1,WiFi 6E,No,In-display,Metal Frame Glass Back,188,No Rating
101,Nokia,Nokia Pro 101,141059,2023,iOS 16,Snapdragon 8 Gen 2,Apple GPU,12,256,No,6.4,IPS LCD,1080x2400,144,4500,18,Yes,200,16,32,32,4K@60fps,Yes,No,5.1,WiFi 5,No,Rear-mounted,Metal Frame Glass Back,200,IP67
102,Samsung,Samsung Pro 102,102521,2022,iOS 17,Snapdragon 8 Gen 1,Xclipse 920,16,512,No,6.4,LTPO AMOLED,720x1600,90,4500,120,Yes,64,50,12,50,8K@24fps,No,No,5.3,WiFi 6,Yes,In-display,Metal Frame Glass Back,219,IP53
103,Realme,Realme Pro 103,126073,2023,iOS 17,Snapdragon 8 Gen 1,Apple GPU,8,1024,No,6.5,AMOLED,720x1600,144,4500,120,Yes,108,50,32,50,8K@24fps,No,No,5,WiFi 6E,Yes,In-display,"Glass Front, Plastic Back",192,IP52
104,Vivo,Vivo Pro 104,42307,2023,iOS 17,Exynos 2200,Adreno 740,12,64,Yes,6.5,Super AMOLED,1080x2400,60,4000,33,No,48,8,12,32,4K@30fps,No,No,5.3,WiFi 5,Yes,In-display,Metal Frame Glass Back,218,IP52
105,Oppo,Oppo Pro 105,115679,2023,Android 13,Dimensity 8200,Adreno 730,6,256,No,6.8,IPS LCD,1080x2400,144,5000,45,No,64,8,32,32,8K@24fps,No,Yes,5.1,WiFi 5,Yes,Side-mounted,"Glass Front, Plastic Back",202,IP67
106,OnePlus,OnePlus Pro 106,11043,2025,iOS 16,Snapdragon 8 Gen 2,Adreno 730,12,1024,Yes,6.7,Super AMOLED,720x1600,60,4500,80,Yes,48,50,12,16,4K@30fps,Yes,No,5.2,WiFi 6E,No,Side-mounted,Glass Front/Back,167,No Rating
107,Xiaomi,Xiaomi Pro 107,77841,2024,iOS 16,Snapdragon 7 Gen 1,Apple GPU,6,256,No,6.8,OLED,1080x2400,90,4000,45,No,200,50,12,32,8K@24fps,No,No,5.2,WiFi 5,Yes,In-display,"Glass Front, Plastic Back",227,IP52
108,Samsung,Samsung Pro 108,74398,2023,Android 13,Exynos 2200,Mali-G710,6,64,No,6.5,IPS LCD,720x1600,60,6000,80,Yes,50,8,32,8,4K@60fps,No,Yes,5,WiFi 6,Yes,Side-mounted,"Glass Front, Plastic Back",232,IP53
109,Realme,Realme Pro 109,82958,2026,iOS 16,Snapdragon 8 Gen 1,Adreno 730,4,128,Yes,6.8,LTPO AMOLED,1440x3200,144,6000,25,No,48,8,8,8,8K@24fps,No,No,5.3,WiFi 5,No,Rear-mounted,Metal Frame Glass Back,239,IP67
110,Vivo,Vivo Pro 110,71515,2026,iOS 17,Snapdragon 7 Gen 1,Apple GPU,4,512,Yes,6.8,AMOLED,1440x3200,144,5500,18,Yes,64,8,32,8,8K@24fps,Yes,Yes,5.3,WiFi 6,Yes,Rear-mounted,Metal Frame Glass Back,209,IP68
111,Samsung,Samsung Pro 111,114454,2021,iOS 16,Dimensity 920,Adreno 730,16,64,No,6.4,OLED,1440x3200,120,4500,18,No,50,8,12,16,4K@60fps,Yes,Yes,5.3,WiFi 6,No,Rear-mounted,"Glass Front, Plastic Back",189,IP67
112,Nothing,Nothing Pro 112,101865,2020,Android 13,Snapdragon 8 Gen 2,Apple GPU,6,64,Yes,6.5,AMOLED,720x1600,90,5500,18,No,50,16,32,16,1080p@60fps,No,Yes,5.2,WiFi 6,Yes,In-display,Glass Front/Back,214,IP68
113,OnePlus,OnePlus Pro 113,52723,2026,Android 13,Exynos 2200,Adreno 730,8,128,Yes,6.8,Super AMOLED,720x1600,60,4000,25,Yes,64,12,8,32,8K@24fps,Yes,No,5.1,WiFi 5,Yes,Side-mounted,"Glass Front, Plastic Back",203,IP53
114,Vivo,Vivo Pro 114,14312,2020,iOS 17,Snapdragon 8 Gen 2,Adreno 730,4,512,Yes,6.7,LTPO AMOLED,1080x2400,120,4500,65,Yes,50,12,12,16,1080p@60fps,Yes,No,5.3,WiFi 5,No,Rear-mounted,Glass Front/Back,192,No Rating
115,Motorola,Motorola Pro 115,90983,2020,Android 14,Snapdragon 8 Gen 2,Apple GPU,16,64,No,6.4,AMOLED,720x1600,90,4000,45,No,50,8,8,50,8K@24fps,Yes,No,5.1,WiFi 6E,No,Rear-mounted,Metal Frame Glass Back,170,IP67
116,OnePlus,OnePlus Pro 116,83915,2025,iOS 16,Dimensity 920,Apple GPU,6,128,No,6.7,AMOLED,1440x3200,60,5000,65,Yes,108,8,32,16,4K@30fps,No,No,5,WiFi 6,No,In-display,Glass Front/Back,220,IP68
117,Xiaomi,Xiaomi Pro 117,74604,2021,iOS 16,Dimensity 920,Adreno 740,16,256,Yes,6.8,LTPO AMOLED,1440x3200,90,4000,18,No,48,12,8,8,4K@30fps,Yes,Yes,5.3,WiFi 6E,No,Rear-mounted,Glass Front/Back,186,IP52
118,Oppo,Oppo Pro 118,96351,2021,iOS 17,Dimensity 8200,Xclipse 920,12,1024,Yes,6.4,LTPO AMOLED,720x1600,120,6000,45,Yes,200,50,32,8,1080p@60fps,No,Yes,5.3,WiFi 5,Yes,Side-mounted,"Glass Front, Plastic Back",214,IP68
119,Vivo,Vivo Pro 119,75174,2024,Android 14,Snapdragon 8 Gen 2,Apple GPU,6,256,Yes,6.7,AMOLED,1080x2400,144,5500,45,Yes,200,16,8,32,1080p@60fps,Yes,No,5.3,WiFi 6,No,Side-mounted,Glass Front/Back,171,No Rating
120,Xiaomi,Xiaomi Pro 120,77783,2026,Android 13,Snapdragon 8 Gen 1,Xclipse 920,6,128,No,6.1,LTPO AMOLED,720x1600,60,6000,80,No,200,8,12,50,1080p@60fps,Yes,No,5.1,WiFi 6E,No,Side-mounted,Metal Frame Glass Back,173,No Rating
121,Nokia,Nokia Pro 121,75896,2020,Android 14,Exynos 2200,Adreno 740,16,256,No,6.1,Super AMOLED,1440x3200,90,6000,80,No,200,16,8,32,1080p@60fps,Yes,No,5.1,WiFi 6E,Yes,Rear-mounted,Metal Frame Glass Back,189,IP68
122,Realme,Realme Pro 122,77817,2024,Android 13,Snapdragon 8 Gen 1,Apple GPU,8,1024,Yes,6.1,LTPO AMOLED,1080x2400,60,5000,33,Yes,200,50,32,8,4K@60fps,No,Yes,5.1,WiFi 6,No,Rear-mounted,Metal Frame Glass Back,233,IP52
123,OnePlus,OnePlus Pro 123,132920,2023,Android 13,Dimensity 920,Adreno 730,12,64,Yes,6.4,Super AMOLED,720x1600,120,5000,45,No,200,8,8,8,8K@24fps,Yes,Yes,5.3,WiFi 6E,No,Rear-mounted,Glass Front/Back,181,No Rating
124,Apple,Apple Pro 124,16239,2022,Android 14,Exynos 2200,Adreno 730,12,1024,Yes,6.7,AMOLED,1080x2400,60,5000,65,Yes,50,50,12,50,8K@24fps,No,No,5,WiFi 5,No,Side-mounted,Metal Frame Glass Back,224,IP53
125,OnePlus,OnePlus Pro 125,73535,2024,iOS 17,Snapdragon 8 Gen 1,Mali-G710,12,64,No,6.8,AMOLED,720x1600,90,5000,80,No,64,16,12,50,4K@30fps,Yes,No,5.2,WiFi 6,No,In-display,Metal Frame Glass Back,175,IP68
126,Apple,Apple Pro 126,147093,2023,Android 13,Dimensity 8200,Apple GPU,12,64,No,6.8,Super AMOLED,1080x2400,60,4000,80,No,64,8,12,32,4K@30fps,Yes,Yes,5.3,WiFi 6,Yes,Side-mounted,Metal Frame Glass Back,214,No Rating
127,Xiaomi,Xiaomi Pro 127,42539,2023,Android 14,Dimensity 8200,Adreno 740,6,128,No,6.5,LTPO AMOLED,1080x2400,60,6000,80,Yes,64,12,32,8,1080p@60fps,Yes,Yes,5.1,WiFi 6E,No,Rear-mounted,Glass Front/Back,200,IP68
128,Samsung,Samsung Pro 128,41513,2023,Android 13,A16 Bionic,Apple GPU,6,128,No,6.7,LTPO AMOLED,1080x2400,90,5500,18,No,48,8,12,8,4K@30fps,No,No,5,WiFi 5,No,Side-mounted,"Glass Front, Plastic Back",232,No Rating
129,OnePlus,OnePlus Pro 129,31990,2021,iOS 16,A16 Bionic,Xclipse 920,4,128,No,6.8,LTPO AMOLED,1080x2400,90,4000,18,Yes,200,12,12,8,4K@30fps,No,No,5.1,WiFi 5,No,In-display,Metal Frame Glass Back,186,IP68
130,Xiaomi,Xiaomi Pro 130,63690,2020,iOS 16,Dimensity 8200,Adreno 740,12,256,No,6.4,AMOLED,1440x3200,60,4500,45,Yes,48,16,8,16,4K@60fps,No,Yes,5.2,WiFi 6E,No,In-display,Glass Front/Back,194,IP52
131,Motorola,Motorola Pro 131,41265,2022,iOS 16,Exynos 2200,Mali-G710,16,128,No,6.8,Super AMOLED,1440x3200,120,5500,80,Yes,108,8,12,32,1080p@60fps,No,No,5.1,WiFi 5,Yes,Rear-mounted,"Glass Front, Plastic Back",216,IP52
132,Oppo,Oppo Pro 132,74850,2022,Android 14,Dimensity 920,Adreno 730,16,256,Yes,6.7,IPS LCD,720x1600,60,4500,45,Yes,108,50,32,50,4K@30fps,No,Yes,5,WiFi 5,Yes,In-display,Glass Front/Back,239,IP52
133,Oppo,Oppo Pro 133,120609,2022,Android 14,Dimensity 920,Adreno 730,4,1024,Yes,6.1,AMOLED,720x1600,90,4000,45,Yes,50,16,32,8,8K@24fps,Yes,Yes,5.3,WiFi 6,No,Rear-mounted,"Glass Front, Plastic Back",185,IP53
134,Motorola,Motorola Pro 134,84641,2020,iOS 17,Dimensity 8200,Apple GPU,12,64,No,6.8,LTPO AMOLED,1440x3200,144,5500,25,No,200,8,32,16,4K@60fps,No,No,5.1,WiFi 5,No,Side-mounted,"Glass Front, Plastic Back",185,No Rating
135,Vivo,Vivo Pro 135,117095,2023,Android 14,Snapdragon 7 Gen 1,Adreno 730,16,512,Yes,6.4,LTPO AMOLED,1080x2400,60,4500,25,No,48,50,12,8,8K@24fps,Yes,No,5.3,WiFi 5,No,In-display,Glass Front/Back,235,IP53
136,Oppo,Oppo Pro 136,17909,2024,iOS 17,Snapdragon 8 Gen 2,Apple GPU,4,256,No,6.8,IPS LCD,720x1600,144,5000,45,No,50,8,8,16,4K@30fps,No,No,5.2,WiFi 6,No,Rear-mounted,Glass Front/Back,197,IP53
137,Oppo,Oppo Pro 137,149505,2023,iOS 16,Snapdragon 8 Gen 1,Mali-G710,16,1024,Yes,6.5,OLED,720x1600,60,5000,25,No,200,16,8,8,8K@24fps,No,Yes,5,WiFi 6,Yes,Rear-mounted,"Glass Front, Plastic Back",178,IP67
138,OnePlus,OnePlus Pro 138,54696,2026,Android 13,Exynos 2200,Apple GPU,16,1024,No,6.4,IPS LCD,1080x2400,60,5500,33,Yes,64,16,8,16,8K@24fps,No,Yes,5.3,WiFi 6E,Yes,Side-mounted,Metal Frame Glass Back,230,IP53
139,Realme,Realme Pro 139,35430,2022,iOS 16,Exynos 2200,Adreno 740,8,1024,No,6.1,IPS LCD,720x1600,60,5500,45,Yes,108,16,32,8,1080p@60fps,Yes,Yes,5.3,WiFi 6,Yes,Side-mounted,"Glass Front, Plastic Back",174,IP53
140,Xiaomi,Xiaomi Pro 140,65173,2026,Android 14,Dimensity 920,Mali-G710,16,512,No,6.4,IPS LCD,1080x2400,90,5500,120,No,200,8,32,8,4K@30fps,Yes,No,5.3,WiFi 5,Yes,Rear-mounted,Glass Front/Back,206,IP68
141,Vivo,Vivo Pro 141,61917,2026,iOS 17,Exynos 2200,Adreno 730,16,64,Yes,6.1,Super AMOLED,1440x3200,144,6000,80,Yes,200,8,12,16,4K@30fps,No,Yes,5,WiFi 6E,No,Rear-mounted,Metal Frame Glass Back,206,IP67
142,Nothing,Nothing Pro 142,83441,2022,Android 13,Snapdragon 8 Gen 1,Adreno 740,8,1024,Yes,6.5,IPS LCD,720x1600,60,6000,120,No,200,16,8,16,4K@30fps,No,No,5.3,WiFi 6E,Yes,Rear-mounted,Glass Front/Back,171,No Rating
143,Motorola,Motorola Pro 143,92961,2023,iOS 16,Exynos 2200,Adreno 740,8,1024,No,6.1,LTPO AMOLED,720x1600,144,5500,18,No,48,8,32,16,1080p@60fps,Yes,No,5.1,WiFi 6,No,Rear-mounted,"Glass Front, Plastic Back",170,No Rating
144,OnePlus,OnePlus Pro 144,124782,2023,iOS 17,A16 Bionic,Xclipse 920,6,128,No,6.4,IPS LCD,1440x3200,120,5000,65,No,50,16,12,8,8K@24fps,Yes,No,5.3,WiFi 5,Yes,Side-mounted,Metal Frame Glass Back,227,IP52
145,Nokia,Nokia Pro 145,75616,2021,Android 14,Dimensity 8200,Adreno 730,6,256,Yes,6.1,AMOLED,1440x3200,120,6000,33,No,108,8,8,50,1080p@60fps,Yes,Yes,5.1,WiFi 5,No,Rear-mounted,Glass Front/Back,196,No Rating
146,Oppo,Oppo Pro 146,134344,2023,Android 14,Snapdragon 8 Gen 1,Apple GPU,6,1024,No,6.7,Super AMOLED,1080x2400,144,6000,18,Yes,64,8,32,16,1080p@60fps,Yes,No,5.2,WiFi 6,Yes,In-display,Metal Frame Glass Back,205,IP52
147,Apple,Apple Pro 147,142444,2022,iOS 16,Dimensity 8200,Apple GPU,4,1024,Yes,6.5,OLED,1080x2400,120,4000,25,Yes,200,8,12,16,4K@60fps,No,Yes,5.2,WiFi 6E,No,In-display,Glass Front/Back,195,IP53
148,OnePlus,OnePlus Pro 148,146898,2026,iOS 16,A16 Bionic,Apple GPU,16,256,Yes,6.8,OLED,1080x2400,60,4500,45,Yes,50,50,32,32,4K@30fps,Yes,No,5.2,WiFi 5,No,In-display,Glass Front/Back,199,IP67
149,Samsung,Samsung Pro 149,86878,2021,iOS 17,Snapdragon 7 Gen 1,Adreno 740,4,1024,Yes,6.7,OLED,1080x2400,60,6000,18,Yes,64,50,8,32,4K@30fps,Yes,Yes,5.2,WiFi 6E,Yes,Rear-mounted,Glass Front/Back,161,IP53
150,Vivo,Vivo Pro 150,135566,2023,Android 14,Exynos 2200,Apple GPU,6,1024,Yes,6.8,AMOLED,720x1600,144,6000,25,No,48,8,8,16,4K@60fps,Yes,Yes,5.1,WiFi 6E,Yes,In-display,"Glass Front, Plastic Back",192,IP53
151,OnePlus,OnePlus Pro 151,48086,2020,Android 14,Snapdragon 8 Gen 2,Mali-G710,16,256,No,6.7,AMOLED,720x1600,60,5000,33,No,48,12,12,8,4K@60fps,No,No,5.3,WiFi 6,No,In-display,"Glass Front, Plastic Back",220,IP52
152,OnePlus,OnePlus Pro 152,110633,2025,iOS 16,Dimensity 8200,Adreno 740,12,256,No,6.7,OLED,1440x3200,120,5500,80,No,64,50,32,32,1080p@60fps,Yes,No,5.2,WiFi 6E,No,In-display,"Glass Front, Plastic Back",172,IP52
153,Realme,Realme Pro 153,32875,2020,iOS 17,Dimensity 920,Apple GPU,16,256,No,6.7,OLED,720x1600,90,4500,25,Yes,108,12,32,50,4K@30fps,Yes,Yes,5,WiFi 6,No,Side-mounted,"Glass Front, Plastic Back",183,No Rating
154,Samsung,Samsung Pro 154,58049,2024,iOS 16,Snapdragon 8 Gen 1,Adreno 730,8,256,No,6.7,AMOLED,720x1600,90,4500,33,No,48,8,8,32,1080p@60fps,Yes,Yes,5.2,WiFi 6,No,Side-mounted,Metal Frame Glass Back,192,IP53
155,Vivo,Vivo Pro 155,108854,2023,iOS 16,Dimensity 8200,Xclipse 920,6,512,Yes,6.4,Super AMOLED,1080x2400,120,5000,25,Yes,48,50,8,50,8K@24fps,No,Yes,5.1,WiFi 6,Yes,Rear-mounted,"Glass Front, Plastic Back",173,IP53
156,Vivo,Vivo Pro 156,125330,2021,Android 14,Dimensity 8200,Adreno 730,6,128,Yes,6.7,IPS LCD,1440x3200,90,5500,25,Yes,200,16,32,8,8K@24fps,No,No,5.1,WiFi 5,Yes,In-display,Glass Front/Back,204,IP52
157,Nothing,Nothing Pro 157,126072,2025,iOS 16,A16 Bionic,Apple GPU,16,256,No,6.8,LTPO AMOLED,1440x3200,60,5500,65,Yes,50,16,32,32,8K@24fps,No,Yes,5.1,WiFi 6,Yes,In-display,Metal Frame Glass Back,219,No Rating
158,Vivo,Vivo Pro 158,11636,2021,Android 13,A16 Bionic,Adreno 730,16,1024,No,6.1,Super AMOLED,1080x2400,144,6000,25,No,64,8,32,50,4K@60fps,Yes,No,5.2,WiFi 6E,No,In-display,"Glass Front, Plastic Back",165,IP53
159,Motorola,Motorola Pro 159,27126,2021,iOS 17,A16 Bionic,Mali-G710,8,64,Yes,6.8,IPS LCD,1440x3200,90,4500,120,Yes,50,8,8,32,8K@24fps,No,Yes,5.1,WiFi 6,Yes,In-display,Glass Front/Back,172,IP53
160,Nokia,Nokia Pro 160,44673,2020,Android 14,Snapdragon 8 Gen 2,Apple GPU,4,128,Yes,6.7,Super AMOLED,1080x2400,120,5500,80,No,108,8,12,16,1080p@60fps,No,Yes,5.2,WiFi 6E,No,Rear-mounted,Metal Frame Glass Back,161,IP68
161,Oppo,Oppo Pro 161,48845,2024,iOS 17,Dimensity 8200,Xclipse 920,12,64,Yes,6.1,LTPO AMOLED,1440x3200,90,6000,33,Yes,108,8,12,32,4K@60fps,Yes,Yes,5,WiFi 5,Yes,Side-mounted,Glass Front/Back,230,IP68
162,Apple,Apple Pro 162,11307,2020,Android 13,Dimensity 8200,Mali-G710,12,128,No,6.7,Super AMOLED,720x1600,120,5000,65,Yes,64,16,12,8,4K@30fps,Yes,Yes,5.3,WiFi 6E,No,Rear-mounted,"Glass Front, Plastic Back",191,IP68
163,Apple,Apple Pro 163,115349,2021,iOS 16,Snapdragon 8 Gen 1,Apple GPU,6,64,Yes,6.7,OLED,720x1600,144,4000,65,Yes,200,16,32,50,4K@30fps,Yes,Yes,5.3,WiFi 5,No,Rear-mounted,Metal Frame Glass Back,218,IP68
164,Nothing,Nothing Pro 164,131605,2023,Android 14,Dimensity 8200,Apple GPU,8,128,Yes,6.4,AMOLED,720x1600,60,6000,45,Yes,50,16,8,32,1080p@60fps,Yes,No,5.1,WiFi 5,No,Rear-mounted,"Glass Front, Plastic Back",190,No Rating
165,Nokia,Nokia Pro 165,99512,2025,Android 13,Snapdragon 8 Gen 1,Adreno 740,12,1024,Yes,6.8,Super AMOLED,720x1600,120,4000,120,No,64,12,8,8,4K@60fps,Yes,Yes,5.2,WiFi 6,Yes,Side-mounted,"Glass Front, Plastic Back",184,IP52
166,OnePlus,OnePlus Pro 166,129433,2024,iOS 17,Exynos 2200,Apple GPU,12,64,Yes,6.8,LTPO AMOLED,720x1600,60,4500,80,Yes,50,8,8,50,1080p@60fps,No,No,5.3,WiFi 5,No,In-display,Glass Front/Back,201,IP67
167,Vivo,Vivo Pro 167,100999,2022,Android 13,Dimensity 920,Adreno 730,4,128,Yes,6.1,OLED,1080x2400,60,4500,18,No,48,12,8,50,1080p@60fps,No,Yes,5,WiFi 5,Yes,Rear-mounted,"Glass Front, Plastic Back",222,IP67
168,Samsung,Samsung Pro 168,91638,2023,iOS 16,Snapdragon 8 Gen 1,Apple GPU,6,128,No,6.4,Super AMOLED,1440x3200,60,4500,120,Yes,64,8,32,16,4K@60fps,Yes,No,5.3,WiFi 6,No,Rear-mounted,"Glass Front, Plastic Back",195,IP53
169,Samsung,Samsung Pro 169,33979,2020,Android 13,Exynos 2200,Adreno 740,8,64,Yes,6.7,IPS LCD,1440x3200,60,5500,120,Yes,50,12,12,32,8K@24fps,No,Yes,5.3,WiFi 5,No,Side-mounted,Metal Frame Glass Back,178,IP52
170,OnePlus,OnePlus Pro 170,32150,2026,Android 13,Dimensity 8200,Xclipse 920,8,1024,Yes,6.8,IPS LCD,720x1600,120,4500,80,Yes,200,8,32,8,4K@30fps,Yes,No,5,WiFi 6,Yes,Rear-mounted,Metal Frame Glass Back,200,IP67
171,Nokia,Nokia Pro 171,80463,2022,iOS 17,Dimensity 920,Apple GPU,8,512,Yes,6.5,Super AMOLED,1440x3200,120,4000,65,No,48,16,12,16,1080p@60fps,Yes,Yes,5,WiFi 5,No,Rear-mounted,Glass Front/Back,170,IP67
172,Nothing,Nothing Pro 172,40137,2026,Android 14,Snapdragon 8 Gen 1,Mali-G710,8,128,Yes,6.5,OLED,720x1600,120,4000,18,No,108,12,8,8,4K@60fps,No,No,5,WiFi 6,No,In-display,"Glass Front, Plastic Back",185,IP67
173,Samsung,Samsung Pro 173,144794,2023,Android 14,Snapdragon 8 Gen 1,Mali-G710,12,256,No,6.5,OLED,720x1600,60,5000,120,No,200,12,32,50,4K@30fps,No,Yes,5.3,WiFi 5,Yes,Rear-mounted,Metal Frame Glass Back,188,IP52
174,Vivo,Vivo Pro 174,120550,2025,Android 13,Dimensity 8200,Adreno 740,12,1024,No,6.7,IPS LCD,720x1600,120,4000,25,Yes,108,16,12,50,1080p@60fps,Yes,Yes,5.3,WiFi 6E,Yes,Rear-mounted,Metal Frame Glass Back,187,IP68
175,Xiaomi,Xiaomi Pro 175,136443,2020,iOS 17,Dimensity 920,Mali-G710,12,512,Yes,6.1,Super AMOLED,1440x3200,144,5500,18,No,64,8,32,50,4K@60fps,Yes,No,5,WiFi 6E,No,Rear-mounted,"Glass Front, Plastic Back",218,IP52
176,Vivo,Vivo Pro 176,26340,2020,Android 13,Snapdragon 7 Gen 1,Adreno 740,16,256,Yes,6.5,LTPO AMOLED,1440x3200,90,4000,33,No,200,12,32,16,8K@24fps,No,Yes,5.2,WiFi 6,No,In-display,"Glass Front, Plastic Back",225,IP68
177,Oppo,Oppo Pro 177,146565,2026,Android 14,Snapdragon 8 Gen 1,Adreno 740,12,256,Yes,6.8,IPS LCD,1080x2400,90,5000,18,No,108,8,12,8,4K@60fps,No,Yes,5,WiFi 6E,Yes,In-display,Glass Front/Back,172,IP68
178,Apple,Apple Pro 178,61391,2022,iOS 16,Exynos 2200,Apple GPU,16,128,Yes,6.4,LTPO AMOLED,1080x2400,120,6000,80,Yes,50,50,32,16,8K@24fps,No,No,5.3,WiFi 6,Yes,Rear-mounted,"Glass Front, Plastic Back",206,IP52
179,Samsung,Samsung Pro 179,99505,2022,iOS 16,Snapdragon 8 Gen 2,Mali-G710,16,64,No,6.7,Super AMOLED,1440x3200,60,4000,65,No,200,8,32,32,4K@30fps,Yes,No,5.1,WiFi 5,No,Side-mounted,"Glass Front, Plastic Back",180,IP68
180,Xiaomi,Xiaomi Pro 180,75544,2021,Android 13,Dimensity 920,Apple GPU,4,512,Yes,6.5,IPS LCD,720x1600,120,4500,80,No,50,12,8,16,8K@24fps,No,No,5.1,WiFi 5,No,In-display,"Glass Front, Plastic Back",187,IP53
181,Motorola,Motorola Pro 181,20671,2024,iOS 16,A16 Bionic,Adreno 730,16,512,No,6.5,Super AMOLED,720x1600,90,4500,45,No,108,12,32,8,4K@60fps,Yes,No,5.1,WiFi 6E,Yes,In-display,"Glass Front, Plastic Back",217,No Rating
182,Vivo,Vivo Pro 182,149724,2024,iOS 17,Snapdragon 7 Gen 1,Xclipse 920,6,64,No,6.7,Super AMOLED,1440x3200,90,5500,120,No,48,12,32,32,4K@60fps,Yes,No,5.2,WiFi 5,No,In-display,Metal Frame Glass Back,207,IP52
183,Nokia,Nokia Pro 183,105791,2023,Android 14,Snapdragon 8 Gen 2,Adreno 740,12,1024,No,6.5,OLED,1440x3200,90,4500,120,No,48,12,8,50,4K@30fps,Yes,No,5.2,WiFi 6E,No,Rear-mounted,"Glass Front, Plastic Back",232,IP68
184,Realme,Realme Pro 184,22718,2020,Android 13,A16 Bionic,Xclipse 920,16,512,Yes,6.1,IPS LCD,1080x2400,144,5500,65,Yes,200,16,12,50,8K@24fps,Yes,Yes,5.1,WiFi 6,Yes,In-display,"Glass Front, Plastic Back",186,IP53
185,Xiaomi,Xiaomi Pro 185,82439,2023,Android 14,Exynos 2200,Mali-G710,4,64,No,6.5,OLED,720x1600,144,4500,120,Yes,64,8,32,16,1080p@60fps,No,Yes,5.1,WiFi 6,Yes,Side-mounted,Metal Frame Glass Back,188,IP68
186,Realme,Realme Pro 186,121318,2026,iOS 17,A16 Bionic,Mali-G710,4,1024,No,6.7,LTPO AMOLED,1440x3200,60,5500,25,No,64,50,32,8,4K@30fps,No,No,5,WiFi 6E,Yes,In-display,Glass Front/Back,211,IP53
187,Nothing,Nothing Pro 187,99055,2024,iOS 16,Exynos 2200,Xclipse 920,8,512,No,6.8,Super AMOLED,1440x3200,90,6000,33,Yes,48,12,32,16,4K@30fps,No,Yes,5,WiFi 6E,Yes,Side-mounted,Metal Frame Glass Back,190,No Rating
188,Realme,Realme Pro 188,141349,2022,iOS 16,Snapdragon 8 Gen 2,Adreno 740,4,64,Yes,6.8,IPS LCD,1080x2400,90,5500,25,Yes,64,50,32,8,4K@60fps,No,No,5.2,WiFi 6E,Yes,In-display,Glass Front/Back,168,No Rating
189,Nokia,Nokia Pro 189,133634,2026,Android 13,Exynos 2200,Mali-G710,6,512,No,6.7,IPS LCD,1440x3200,144,5500,45,No,48,50,32,32,4K@30fps,Yes,Yes,5.1,WiFi 6,No,Side-mounted,Glass Front/Back,167,IP52
190,Nothing,Nothing Pro 190,131940,2025,iOS 16,Snapdragon 8 Gen 2,Apple GPU,8,64,No,6.7,Super AMOLED,1440x3200,90,4000,120,Yes,48,50,32,16,4K@30fps,No,Yes,5.3,WiFi 6,No,In-display,Glass Front/Back,190,IP53
191,Samsung,Samsung Pro 191,140891,2020,Android 14,Snapdragon 8 Gen 2,Adreno 730,6,256,Yes,6.1,OLED,720x1600,120,5500,18,Yes,64,12,12,16,1080p@60fps,No,No,5.3,WiFi 6,Yes,In-display,"Glass Front, Plastic Back",192,IP67
192,Motorola,Motorola Pro 192,55561,2026,Android 14,Snapdragon 8 Gen 2,Adreno 730,16,64,Yes,6.5,IPS LCD,1080x2400,90,4000,65,No,50,50,12,16,4K@60fps,No,Yes,5.1,WiFi 6,No,In-display,"Glass Front, Plastic Back",234,IP68
193,Apple,Apple Pro 193,115595,2026,Android 14,Snapdragon 8 Gen 1,Adreno 740,6,512,Yes,6.4,Super AMOLED,1440x3200,90,6000,80,Yes,108,50,12,8,4K@60fps,Yes,No,5.2,WiFi 6E,No,Rear-mounted,"Glass Front, Plastic Back",203,IP53
